#-------------------------------------------------------------------
# A2744 Spectroscopic Redshift Compilation.
# Benotto P. - Last compiled 2026-05-26
# Please always refer to the latest version of this catalogue: 
# https://pietrobenotto.github.io/research/A2744_redshift_compilation.txt
#
# This catalog compiles spectroscopic redshifts for the A2744 field.
# Redshifts within a 20' radius centered on the cluster are kept.
# The redshifts come from the following surveys:
#
#   - ASTRODEEP-JWST          (Merlin et al. 2024)
#   - UNCOVER                 (Prince et al. 2024)
#   - All the Little Things   (ALT, Naidu et al. 2024)
#   - NIRISS                  (Watson et al. 2025)
#   - DJA redshift compilation (Brammer & Valentino 2025,
#                               https://zenodo.org/records/15472354)
#                               v4.4, grade == 3 only
#   - MUSE surveys compilation:
#       Owers et al. 2011, Braglia et al. 2009, GLASS,
#       Richard et al. 2021, Bergamini et al. 2022,
#       Caminha MUSE DDT 2022, MUSE 2025 (PI: Matthee)
#-------------------------------------------------------------------
# ( 1)  RA           [Right Ascension J2000 (deg)]
#                       Right ascension from the same catalogue as the redshift.
# ( 2)  DEC          [Declination J2000 (deg)]
#                       Declination from the same catalogue as the redshift.
# ( 3)  ID           [Source identifier]
#                       Source identifier. A plain number is the ASTRODEEP ID of the
#                       nearest match within 1 arcsec. If no match exists, the original
#                       catalogue number is kept with a 3-letter prefix indicating its
#                       source. If multiple objects with different redshifts map to the
#                       same ID, a letter suffix is appended (_a, _b, ...).
# ( 4)  zspec        [Spectroscopic redshift]
#                       Spectroscopic redshift. If multiple sources lie within 1 arcsec
#                       and agree within 5% in redshift, only one entry is retained.
# ( 5)  source       [Origin of the redshift value]
# ( 6)  F090W_mag    [JWST/NIRCam F090W (AB magnitude)]
#                       ASTRODEEP KRON flux. -99 if no photometry available.
# ( 7)  F200W_mag    [JWST/NIRCam F200W (AB magnitude)]
#                       ASTRODEEP KRON flux. -99 if no photometry available.
# ( 8)  F444W_mag    [JWST/NIRCam F444W (AB magnitude)]
#                       ASTRODEEP KRON flux. -99 if no photometry available.
#-------------------------------------------------------------------
        RA          DEC            ID    zspec                               source  F090W_mag  F200W_mag  F444W_mag 
 3.5891420  -30.4034010         10401   5.6620                            ASTRODEEP    -99.000     28.775     28.437 
 3.5510515  -30.4029947         10407   4.7510                                  ALT     26.456     26.710     26.928 
 3.5732430  -30.4029540         10417   3.7790                            ASTRODEEP     26.669     26.157     26.374 
 3.5982457  -30.4023016         10422   2.6615                                  ALT    -99.000     24.392     24.604 
 3.5686254  -30.4025082         10426   2.5797                                  ALT    -99.000     23.531     23.080 
 3.5829938  -30.4030503         10443   1.8868                Bergamini22_MUSE_2.3a     27.683     27.189     27.224 
 3.5785770  -30.3990880         10448   0.3050                            ASTRODEEP     21.171     20.345     21.325 
 3.5502615  -30.4014812         10449   2.6541                                  ALT     25.894     24.004     23.221 
 3.5509564  -30.4026380         10459   0.9451                                  ALT     24.624     24.946     25.415 
 3.6340630  -30.4416180          1046   0.2670                            ASTRODEEP    -99.000     19.745     20.496 
 3.5818468  -30.4031301         10466   6.1830                                  ALT     30.024     29.477     29.123 
 3.6008950  -30.4029110         10473   3.7080                            ASTRODEEP    -99.000     28.487     28.482 
 3.5823540  -30.4027340         10479   6.8730                            ASTRODEEP    -99.000     26.703     26.628 
 3.5537687  -30.4025609         10481   4.2748                                  ALT     26.473     26.377     26.568 
 3.5766200  -30.4018070         10492   3.9850                            ASTRODEEP     25.822     25.145     25.420 
 3.6196470  -30.4030530         10508   1.0984                        Niriss_Watson    -99.000     30.075     29.979 
 3.5745470  -30.4001030         10510   1.3460                            ASTRODEEP     23.703     22.872     22.700 
 3.6302009  -30.4023537         10517   1.0400                                  ALT    -99.000     25.146     25.343 
 3.5754650  -30.4026270         10520   1.7389                        Niriss_Watson     27.568     26.858     27.535 
 3.6210050  -30.4029020         10527   6.3233                                  ALT    -99.000     29.102     28.880 
 3.5462281  -30.4023664         10529   2.6544                                  ALT     26.445     25.188     25.848 
 3.6229828  -30.4019786         10536   1.8673                                  ALT    -99.000     24.697     24.560 
 3.5727970  -30.4005100         10546   0.3140                            ASTRODEEP     21.680     20.786     21.638 
 3.5967470  -30.4004930         10560   0.3170                            ASTRODEEP    -99.000     20.982     21.934 
 3.5790580  -30.4000650       10572_a   0.2890                            ASTRODEEP     21.628     21.141     22.112 
 3.5790545  -30.4000657       10572_b   0.3048                                  DJA     21.628     21.141     22.112 
 3.6094305  -30.4015709         10601   1.0442                                  ALT    -99.000     24.288     24.386 
 3.6325368  -30.4026265         10604   6.3639                                  ALT    -99.000     29.390     28.698 
 3.6440077  -30.3984207         10605   0.0002                           Owers_2011    -99.000    -99.000     19.048 
 3.5812100  -30.4020460         10607   0.2404                        Niriss_Watson     24.867     24.274     25.415 
 3.5673460  -30.4008510         10612   0.3020                            ASTRODEEP    -99.000     21.978     22.971 
 3.6023650  -30.4014920         10623   2.0045                        Niriss_Watson    -99.000     24.895     24.788 
 3.6186656  -30.4022553         10649   6.1145                                  ALT    -99.000     27.486     27.274 
 3.5528360  -30.4022030         10650   3.9660                            ASTRODEEP     27.758     27.346     27.258 
 3.5873990  -30.3932910         10657   0.6260                            ASTRODEEP     19.223     17.736     18.200 
 3.6095286  -30.4023177         10660   4.0846                                  ALT    -99.000     28.389     28.980 
 3.5524390  -30.4022575         10661   3.9658                                  ALT     27.094     27.154     27.597 
 3.5729950  -30.4023620         10663   3.6930                            ASTRODEEP     28.414     28.313     28.607 
 3.6023590  -30.4007620         10666   1.8126                        Niriss_Watson    -99.000     24.536     24.591 
 3.5865480  -30.3993700         10670   0.3230                            ASTRODEEP     19.085     18.099     19.005 
 3.5451700  -30.4022550         10680   5.9190                            ASTRODEEP     29.407     28.834     28.681 
